".scenario.id",".at","prevpos.retest.start","second.genps.start","part.index.prob","part.ppindex.prob","scenarioid_1","scenarioid_2","scenarioid_3","scenarioid_4","part.ident.main.prob","part.ident.casl.prob","part.ident.ooff.prob","part.hiv.test.rate_1","part.hiv.test.rate_2","part.hiv.test.rate_3","part.prep.start.prob_1","part.prep.start.prob_2","part.prep.start.prob_3","part.tx.init.rate_1","part.tx.init.rate_2","part.tx.init.rate_3","part.tx.reinit.rate_1","part.tx.reinit.rate_2","part.tx.reinit.rate_3"
"c058_0.75_0.1_base",0,Inf,3901,0.75,0.1,"058","0.75","0.1","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c059_0.8_0.1_base",0,Inf,3901,0.8,0.1,"059","0.8","0.1","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c060_0.85_0.1_base",0,Inf,3901,0.85,0.1,"060","0.85","0.1","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c061_0.9_0.1_base",0,Inf,3901,0.9,0.1,"061","0.9","0.1","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c062_0.95_0.1_base",0,Inf,3901,0.95,0.1,"062","0.95","0.1","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c063_1_0.1_base",0,Inf,3901,1,0.1,"063","1","0.1","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c064_0_0.15_base",0,Inf,3901,0,0.15,"064","0","0.15","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c065_0.05_0.15_base",0,Inf,3901,0.05,0.15,"065","0.05","0.15","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c066_0.1_0.15_base",0,Inf,3901,0.1,0.15,"066","0.1","0.15","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c067_0.15_0.15_base",0,Inf,3901,0.15,0.15,"067","0.15","0.15","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c068_0.2_0.15_base",0,Inf,3901,0.2,0.15,"068","0.2","0.15","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c069_0.25_0.15_base",0,Inf,3901,0.25,0.15,"069","0.25","0.15","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c070_0.3_0.15_base",0,Inf,3901,0.3,0.15,"070","0.3","0.15","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c071_0.35_0.15_base",0,Inf,3901,0.35,0.15,"071","0.35","0.15","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c072_0.4_0.15_base",0,Inf,3901,0.4,0.15,"072","0.4","0.15","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c073_0.45_0.15_base",0,Inf,3901,0.45,0.15,"073","0.45","0.15","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c074_0.5_0.15_base",0,Inf,3901,0.5,0.15,"074","0.5","0.15","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c075_0.55_0.15_base",0,Inf,3901,0.55,0.15,"075","0.55","0.15","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c076_0.6_0.15_base",0,Inf,3901,0.6,0.15,"076","0.6","0.15","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c077_0.65_0.15_base",0,Inf,3901,0.65,0.15,"077","0.65","0.15","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c078_0.7_0.15_base",0,Inf,3901,0.7,0.15,"078","0.7","0.15","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c079_0.75_0.15_base",0,Inf,3901,0.75,0.15,"079","0.75","0.15","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c080_0.8_0.15_base",0,Inf,3901,0.8,0.15,"080","0.8","0.15","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c081_0.85_0.15_base",0,Inf,3901,0.85,0.15,"081","0.85","0.15","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c082_0.9_0.15_base",0,Inf,3901,0.9,0.15,"082","0.9","0.15","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c083_0.95_0.15_base",0,Inf,3901,0.95,0.15,"083","0.95","0.15","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c084_1_0.15_base",0,Inf,3901,1,0.15,"084","1","0.15","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c085_0_0.2_base",0,Inf,3901,0,0.2,"085","0","0.2","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c086_0.05_0.2_base",0,Inf,3901,0.05,0.2,"086","0.05","0.2","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c087_0.1_0.2_base",0,Inf,3901,0.1,0.2,"087","0.1","0.2","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c088_0.15_0.2_base",0,Inf,3901,0.15,0.2,"088","0.15","0.2","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c089_0.2_0.2_base",0,Inf,3901,0.2,0.2,"089","0.2","0.2","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c090_0.25_0.2_base",0,Inf,3901,0.25,0.2,"090","0.25","0.2","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c091_0.3_0.2_base",0,Inf,3901,0.3,0.2,"091","0.3","0.2","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c092_0.35_0.2_base",0,Inf,3901,0.35,0.2,"092","0.35","0.2","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c093_0.4_0.2_base",0,Inf,3901,0.4,0.2,"093","0.4","0.2","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c094_0.45_0.2_base",0,Inf,3901,0.45,0.2,"094","0.45","0.2","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c095_0.5_0.2_base",0,Inf,3901,0.5,0.2,"095","0.5","0.2","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c096_0.55_0.2_base",0,Inf,3901,0.55,0.2,"096","0.55","0.2","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c097_0.6_0.2_base",0,Inf,3901,0.6,0.2,"097","0.6","0.2","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c098_0.65_0.2_base",0,Inf,3901,0.65,0.2,"098","0.65","0.2","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c099_0.7_0.2_base",0,Inf,3901,0.7,0.2,"099","0.7","0.2","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c100_0.75_0.2_base",0,Inf,3901,0.75,0.2,"100","0.75","0.2","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c101_0.8_0.2_base",0,Inf,3901,0.8,0.2,"101","0.8","0.2","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c102_0.85_0.2_base",0,Inf,3901,0.85,0.2,"102","0.85","0.2","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c103_0.9_0.2_base",0,Inf,3901,0.9,0.2,"103","0.9","0.2","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c104_0.95_0.2_base",0,Inf,3901,0.95,0.2,"104","0.95","0.2","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c105_1_0.2_base",0,Inf,3901,1,0.2,"105","1","0.2","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c106_0_0.25_base",0,Inf,3901,0,0.25,"106","0","0.25","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c107_0.05_0.25_base",0,Inf,3901,0.05,0.25,"107","0.05","0.25","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c108_0.1_0.25_base",0,Inf,3901,0.1,0.25,"108","0.1","0.25","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c109_0.15_0.25_base",0,Inf,3901,0.15,0.25,"109","0.15","0.25","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c110_0.2_0.25_base",0,Inf,3901,0.2,0.25,"110","0.2","0.25","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c111_0.25_0.25_base",0,Inf,3901,0.25,0.25,"111","0.25","0.25","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c112_0.3_0.25_base",0,Inf,3901,0.3,0.25,"112","0.3","0.25","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c113_0.35_0.25_base",0,Inf,3901,0.35,0.25,"113","0.35","0.25","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c114_0.4_0.25_base",0,Inf,3901,0.4,0.25,"114","0.4","0.25","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c115_0.45_0.25_base",0,Inf,3901,0.45,0.25,"115","0.45","0.25","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c116_0.5_0.25_base",0,Inf,3901,0.5,0.25,"116","0.5","0.25","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c117_0.55_0.25_base",0,Inf,3901,0.55,0.25,"117","0.55","0.25","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c118_0.6_0.25_base",0,Inf,3901,0.6,0.25,"118","0.6","0.25","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c119_0.65_0.25_base",0,Inf,3901,0.65,0.25,"119","0.65","0.25","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c120_0.7_0.25_base",0,Inf,3901,0.7,0.25,"120","0.7","0.25","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c121_0.75_0.25_base",0,Inf,3901,0.75,0.25,"121","0.75","0.25","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c122_0.8_0.25_base",0,Inf,3901,0.8,0.25,"122","0.8","0.25","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c123_0.85_0.25_base",0,Inf,3901,0.85,0.25,"123","0.85","0.25","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c124_0.9_0.25_base",0,Inf,3901,0.9,0.25,"124","0.9","0.25","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c125_0.95_0.25_base",0,Inf,3901,0.95,0.25,"125","0.95","0.25","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c126_1_0.25_base",0,Inf,3901,1,0.25,"126","1","0.25","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c127_0_0.3_base",0,Inf,3901,0,0.3,"127","0","0.3","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c128_0.05_0.3_base",0,Inf,3901,0.05,0.3,"128","0.05","0.3","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
